City	Plus Code	Language	Place (Local name)	Output File	Status
Paris	8FW4V75V+8Q	fr	Tour Eiffel	samples/8FW4V75V+8Q_fr.txt	improved
Rio de Janeiro	589R2QXQ+6R	pt	Cristo Redentor	samples/589R2QXQ+6R_pt.txt	improved
Bangkok	7P52R7CH+6R	th	วัดอรุณ	samples/7P52R7CH+6R_th.txt	improved
Tokyo	8Q7XJPGM+7Q	ja	皇居	samples/8Q7XJPGM+7Q_ja.txt	done
Rome	8FHJVFWP+7M	it	Pantheon	samples/8FHJVFWP+7M_it.txt	done
Mexico City	C8MJ+P6	es	Museo Nacional de Antropología	samples/C8MJ+P6_es.txt	done
Bangkok	7P52R7GH+5M	th	พระบรมมหาราชวัง	samples/7P52R7GH+5M_th.txt	done
Seoul	8Q98JVHM+6R	ko	N서울타워	samples/8Q98JVHM+6R_ko.txt	done
Paris	8FW4V8QP+8M	fr	Basilique du Sacré-Cœur	samples/8FW4V8QP+8M_fr.txt	done
Cairo	7GWHF3QM+7R	ar	المتحف المصري	samples/7GWHF3QM+7R_ar.txt	improved
Istanbul	8GHC9HFM+7Q	tr	Galata Kulesi	samples/8GHC9HFM+7Q_tr.txt	done
Rio de Janeiro	58XC+PQ	pt	Estádio do Maracanã	samples/58XC+PQ_pt.txt	done
Tokyo	8Q7XJMFH+5M	ja	渋谷スクランブル交差点	samples/8Q7XJMFH+5M_ja.txt	improved
Rome	8FH2VH7H+3R	it	Basilica di San Pietro	samples/8FH2VH7H+3R_it.txt	improved
Mexico City	C9JW+XC	es	Palacio de Bellas Artes	samples/C9JW+XC_es.txt	done
Bangkok	7P52R7GH+4P	th	วัดพระแก้ว	samples/7P52R7GH+4P_th.txt	done
Seoul	8Q98JW4M+7Q	ko	북촌한옥마을	samples/8Q98JW4M+7Q_ko.txt	done
Paris	8FW4V7GX+2Q	fr	Arc de Triomphe	samples/8FW4V7GX+2Q_fr.txt	done
Cairo	7GWHF3RM+6P	ar	خان الخليلي	samples/7GWHF3RM+6P_ar.txt	done
Istanbul	8GHC9H3M+5P	tr	Kapalıçarşı	samples/8GHC9H3M+5P_tr.txt	improved
Rio de Janeiro	58QP+8M	pt	Jardim Botânico do Rio de Janeiro	samples/58QP+8M_pt.txt	done
Tokyo	8Q7XMPJH+6P	ja	東京スカイツリー	samples/8Q7XMPJH+6P_ja.txt	done
Rome	8FHJVFRV+46	it	Colosseo	samples/8FHJVFRV+46_it.txt	done
Mexico City	C9JX+HV	es	Templo Mayor	samples/C9JX+HV_es.txt	improved
Bangkok	7P52R7FH+3Q	th	วัดโพธิ์	samples/7P52R7FH+3Q_th.txt	improved
Seoul	8Q98JVPM+5H	ko	명동	samples/8Q98JVPM+5H_ko.txt	improved
Paris	8FW4V7MX+HW	fr	Cathédrale Notre-Dame de Paris	samples/8FW4V7MX+HW_fr.txt	improved
Cairo	7GWHF3QM+8Q	ar	قلعة صلاح الدين	samples/7GWHF3QM+8Q_ar.txt	improved
Istanbul	8GHC9H7M+6R	tr	Topkapı Sarayı	samples/8GHC9H7M+6R_tr.txt	done
Rio de Janeiro	587G+VF	pt	Pão de Açúcar	samples/587G+VF_pt.txt	improved
Tokyo	8Q7XJP8J+5M	ja	浅草寺	samples/8Q7XJP8J+5M_ja.txt	done
Rome	8FH2VH8H+2Q	it	Musei Vaticani	samples/8FH2VH8H+2Q_it.txt	done
Mexico City	C79G+84	es	Museo Frida Kahlo	samples/C79G+84_es.txt	improved
Bangkok	7P52R7MH+8P	th	ถนนข้าวสาร	samples/7P52R7MH+8P_th.txt	improved
Seoul	8Q98JW4M+9R	ko	창덕궁	samples/8Q98JW4M+9R_ko.txt	improved
Paris	8FW4V7JV+4X	fr	Musée du Louvre	samples/8FW4V7JV+4X_fr.txt	improved
Cairo	7GWHF3RM+7P	ar	جامع الأزهر	samples/7GWHF3RM+7P_ar.txt	improved
Istanbul	8GHC9H5M+8Q	tr	Sultan Ahmet Camii	samples/8GHC9H5M+8Q_tr.txt	improved
Rio de Janeiro	588F+5H	pt	Praia de Copacabana	samples/588F+5H_pt.txt	improved
Tokyo	8Q7XJMFJ+8R	ja	明治神宮	samples/8Q7XJMFJ+8R_ja.txt	improved
Rome	8FHJVFRV+2C	it	Foro Romano	samples/8FHJVFRV+2C_it.txt	improved
